employee_id,first_name,last_name,email,phone_number,department,job_title,hire_date,days_service,base_salary,bonus_percentage,status,birth_date,address,city,state,zip_code,country,gender,education,performance_score,last_review_date,employee_level,vacation_days,sick_days,work_location,shift,emergency_contact,ssn,bank_account
EMP000000000001,Justin,Dodson,justin.dodson@company.com,+1-268-903-3140x814,Marketing,Content Strategist,2021-04-01,1491,43300.94,2.71,Active,1974-07-08,642 Albert Plaza,Spokane,WA,83520,USA,M,High School,75.6,2021-12-26,Senior,19,6,Office,Day,6089985520,694-96-8839,ISIH09445641824790
EMP000000000002,William,Mendoza,william.mendoza@company.com,961-703-7758x823,Logistics,Logistics Manager,2020-05-17,1810,48293.73,7.24,Active,1980-05-30,654 Bethany Prairie Suite 186,New York,NY,20774,USA,M,Professional,68.62,2021-08-15,Senior,21,3,Remote,Night,644-435-2090x3593,741-91-7577,ZWKL89652489774496
EMP000000000003,Brian,Garcia,brian.garcia@company.com,+1-923-424-9237x232,Legal,Contract Specialist,2021-09-07,1332,114368.52,6.61,Active,1971-08-21,51257 Murray Crest Apt. 425,Atlanta,GA,34870,USA,M,Master,71.62,2023-11-28,Senior,22,7,Office,Night,+1-680-568-0610x0856,645-22-0702,ZLHA11113153048754
EMP000000000004,Charles,Carter,charles.carter@company.com,483-765-4434,Development,Software Engineer,2022-12-17,866,55505.63,6.8,Active,1984-12-21,65135 Alyssa Prairie,Rochester,NY,23150,USA,M,Master,76.7,2023-06-20,Senior,14,4,Office,Day,(457)760-0743,459-09-9509,BDJH11804769980631
EMP000000000005,Elizabeth,Haney,elizabeth.haney@company.com,(744)448-8498,Design,UX/UI Designer,2021-04-19,1473,43786.29,4.65,Active,1984-02-26,30352 Monica Land Apt. 337,Orlando,FL,32913,USA,F,Professional,59.88,2022-10-28,Senior,18,5,Office,Day,249-397-6388,746-43-3987,IRQR46293526103014
EMP000000000006,Melody,Morgan,melody.morgan@company.com,4558515714,Quality,Quality Assurance Manager,2020-06-22,1774,54801.07,4.82,Inactive,1969-12-13,8928 Stevenson Gateway Apt. 670,Savannah,GA,42371,USA,F,High School,71.36,2022-05-11,Senior,11,3,Office,Night,001-793-244-6240x89953,028-65-6096,ZBDP48920657925470
EMP000000000007,Katie,Rivera,katie.rivera@company.com,+1-878-227-9517x8748,Training,Corporate Trainer,2022-01-28,1189,38543.54,6.1,Active,2004-02-14,33040 Elizabeth Mill Suite 810,Spokane,WA,04892,USA,F,Professional,81.29,2023-11-02,Senior,9,2,Hybrid,Day,796-729-4827,637-23-6608,RWPJ89636891161068
EMP000000000008,Kelsey,Berg,kelsey.berg@company.com,001-744-818-4358,Quality,Quality Control Inspector,2023-10-05,574,105715.8,5.24,Active,1999-08-01,472 Brown Junctions Apt. 328,Augusta,GA,30514,USA,F,Master,66.46,2024-02-26,Mid,11,6,Hybrid,Day,496-203-1246x6217,874-55-6889,IQXF69343874783210
EMP000000000009,Cynthia,Adams,cynthia.adams@company.com,001-892-818-2762,Sales,Business Development Manager,2021-12-09,1239,61501.14,4.07,Active,1979-09-29,3645 Stephanie Throughway Apt. 422,Los Angeles,CA,19737,USA,F,Professional,65.79,2022-10-25,Senior,10,7,Office,Day,+1-493-481-9087,820-69-6582,VVXT15677710505716
EMP000000000010,Peter,Fowler,peter.fowler@company.com,818-213-2223x4660,Security,Safety Coordinator,2022-06-29,1037,71007.58,4.14,Leave,2004-07-12,13162 Maria Branch Suite 509,Columbus,OH,17683,USA,Other,High School,81.59,2023-07-24,Senior,11,7,Office,Day,(365)502-6332x5620,652-70-3520,STII47853770839957
EMP000000000011,Leslie,Stewart,leslie.stewart@company.com,+1-727-228-7462x483,HHRR,Employee Relations Specialist,2021-10-28,1281,39604.08,2.34,Active,1996-06-07,8726 Anderson Extensions Suite 318,San Francisco,CA,37298,USA,F,High School,83.52,2023-08-04,Senior,17,4,Hybrid,Night,803-208-3657x3374,675-42-3291,MVUT06251750232986
EMP000000000012,Kathleen,Garcia,kathleen.garcia@company.com,001-617-834-3862,R&D,R&D Technician,2021-12-20,1228,103410.09,5.21,Active,1991-10-24,818 Karla Grove,Savannah,GA,56026,USA,F,Master,59.04,2024-01-25,Senior,18,7,Remote,Day,667-208-9280x22971,423-04-5098,ICVT39876912581000
EMP000000000013,Shannon,Hall,shannon.hall@company.com,(749)391-8063,Customer Service,Customer Service Representative,2020-05-20,1807,111197.77,6.14,Active,1999-05-30,75493 Melinda Valleys Apt. 513,Sacramento,CA,94815,USA,F,Professional,70.11,2022-04-07,Senior,16,4,Remote,Day,749-255-5866,424-47-1630,PPDB10094361519046
EMP000000000014,Tiffany,Villanueva,tiffany.villanueva@company.com,+1-742-533-9113x2081,Support,Customer Support Representative,2021-09-09,1330,66755.7,6.52,Active,2000-02-27,378 Cody Estates Apt. 972,Rockford,IL,55897,USA,F,PhD,67.41,2022-03-20,Senior,14,6,Office,Night,001-912-709-0339x34244,121-54-0860,HFAE06883444162008
EMP000000000015,Dennis,Smith,dennis.smith@company.com,924-830-2429,Operations,Production Supervisor,2024-01-22,465,68091.72,10.87,Active,1982-01-21,87989 Matthew Key Suite 942,San Antonio,TX,54250,USA,M,Professional,72.8,2024-03-21,Mid,16,5,Remote,Day,4994140578,168-38-1433,IMGZ70637393948326
EMP000000000016,John,Webb,john.webb@company.com,913-483-9853x71705,Engineering,Civil Engineer,2020-05-12,1815,33916.22,6.71,Active,1987-05-31,7554 Ferguson Ports Apt. 253,New York,NY,54942,USA,M,Professional,61.89,2020-12-29,Senior,11,5,Hybrid,Night,793.398.9164x7122,286-77-1377,WULX98978965181923
EMP000000000017,Ashley,Haley,ashley.haley@company.com,001-570-676-1459,Operations,Logistics Specialist,2022-06-02,1064,100663.06,5.73,Active,1979-11-14,8591 Lee Manor Suite 853,Seattle,WA,29877,USA,F,PhD,76.54,2024-01-07,Senior,16,6,Office,Night,001-243-355-1864x542,408-76-2572,JECZ49083846443651
EMP000000000018,Cory,Garcia,cory.garcia@company.com,(344)519-9432x40384,Design,Graphic Designer,2021-03-02,1521,37442.15,7.92,Active,1986-05-15,093 Melissa Stream,Rochester,NY,79357,USA,M,Professional,58.28,2021-10-24,Senior,14,4,Office,Day,214-444-0376x9431,723-87-2139,FOSD18830405772486
EMP000000000019,Daniel,Shannon,daniel.shannon@company.com,544-783-4248x7351,Logistics,Logistics Manager,2020-05-08,1819,68693.9,3.11,Active,1983-06-21,91465 Archer Route,Allentown,PA,56738,USA,M,Professional,67.48,2023-03-13,Senior,17,5,Office,Day,+1-347-937-2411,466-69-3950,UDVH74248353182103
EMP000000000020,Anthony,Johnson,anthony.johnson@company.com,(777)815-5954x773,Legal,Corporate Lawyer,2025-03-24,38,77917.38,4.74,Active,1982-10-30,1270 Ramsey Village Suite 856,Houston,TX,19760,USA,M,Master,79.9,2025-04-17,Entry,19,2,Office,Night,+1-990-789-4387x519,116-97-8323,ZXIZ63870080628061
